fips,NAME,NAMELSAD,n_substations,max_substation_voltage_kv,frac_substations_voltage_unknown
01003,Baldwin,Baldwin County,57,230.0,0.0
01069,Houston,Houston County,34,500.0,0.0
01005,Barbour,Barbour County,19,115.0,0.0
01119,Sumter,Sumter County,21,115.0,0.09523809523809523
05091,Miller,Miller County,20,138.0,0.050000000000000044
05133,Sevier,Sevier County,5,138.0,0.0
05093,Mississippi,Mississippi County,39,500.0,0.20512820512820518
06037,Los Angeles,Los Angeles County,553,500.0,0.40144665461121154
06087,Santa Cruz,Santa Cruz County,31,115.0,0.9032258064516129
06097,Sonoma,Sonoma County,45,230.0,0.7777777777777778
06013,Contra Costa,Contra Costa County,81,230.0,0.3827160493827161
06003,Alpine,Alpine County,0,,
08067,La Plata,La Plata County,33,345.0,0.6060606060606061
08113,San Miguel,San Miguel County,8,115.0,0.25
10001,Kent,Kent County,42,230.0,0.2142857142857143
12123,Taylor,Taylor County,9,230.0,0.0
12017,Citrus,Citrus County,27,500.0,0.0
12071,Lee,Lee County,46,500.0,0.0
12101,Pasco,Pasco County,50,230.0,0.020000000000000018
12033,Escambia,Escambia County,44,230.0,0.0
12037,Franklin,Franklin County,6,69.0,0.0
12065,Jefferson,Jefferson County,7,115.0,0.0
13185,Lowndes,Lowndes County,28,230.0,0.0
13127,Glynn,Glynn County,25,500.0,0.0
13051,Chatham,Chatham County,63,230.0,0.015873015873015928
13179,Liberty,Liberty County,11,230.0,0.0
13073,Columbia,Columbia County,17,230.0,0.05882352941176472
13137,Habersham,Habersham County,18,115.0,0.0
16041,Franklin,Franklin County,7,230.0,0.5714285714285714
16033,Clark,Clark County,3,230.0,0.6666666666666667
16079,Shoshone,Shoshone County,8,230.0,0.125
17031,Cook,Cook County,405,345.0,0.3555555555555555
16073,Owyhee,Owyhee County,10,500.0,0.4
16035,Clearwater,Clearwater County,4,500.0,0.25
18123,Perry,Perry County,9,161.0,0.0
18075,Jay,Jay County,15,138.0,0.19999999999999996
19045,Clinton,Clinton County,36,345.0,0.16666666666666663
04009,Graham,Graham County,32,230.0,0.125
19195,Worth,Worth County,9,161.0,0.33333333333333337
20199,Wallace,Wallace County,6,115.0,0.33333333333333337
01117,Shelby,Shelby County,57,230.0,0.08771929824561409
01055,Etowah,Etowah County,42,230.0,0.0
01051,Elmore,Elmore County,31,115.0,0.09677419354838712
01099,Monroe,Monroe County,21,230.0,0.0
21095,Harlan,Harlan County,33,161.0,0.21212121212121215
22075,Plaquemines,Plaquemines Parish,10,230.0,0.30000000000000004
22117,Washington,Washington Parish,20,500.0,0.050000000000000044
22017,Caddo,Caddo Parish,57,345.0,0.03508771929824561
01035,Conecuh,Conecuh County,7,230.0,0.1428571428571429
01085,Lowndes,Lowndes County,14,115.0,0.0
23015,Lincoln,Lincoln County,11,345.0,0.5454545454545454
23017,Oxford,Oxford County,22,115.0,0.2727272727272727
24005,Baltimore,Baltimore County,99,230.0,0.6262626262626263
24025,Harford,Harford County,40,500.0,0.5
24041,Talbot,Talbot County,12,138.0,0.0
24015,Cecil,Cecil County,39,500.0,0.23076923076923073
